TIME	EVENT	NODES
43.97870363374689	D	34_48;34_52;34_53
44.2693459723352	L	39_82
44.408669085774605	D	20_92;20_96;20_97
45.05545648773505	D	6_26;6_32;6_33
45.19040504205644	D	46_34;46_44;46_45
45.931583348045365	D	2_30;2_44;2_45
46.10958596291027	D	41_20;41_34;41_35
46.64240691035126	D	16_74;16_104;16_105
47.48503715189714	D	3_30;3_46;3_47
47.630269481762404	D	10_40;10_62;10_63
48.07579451586041	D	40_50;40_106;40_107
48.27320988615736	D	24_36;24_70;24_71
48.30462194100858	D	22_20;22_28;22_29
48.40265775862625	D	14_30;14_58;14_59
48.824296044107314	L	2_45
48.93135393969732	D	3_28;3_56;3_57
49.36686645089062	L	2_44
49.46619232061965	D	26_64;26_154;26_155
49.69334120169028	D	49_48;49_108;49_109
