TIME	EVENT	NODES
0	O	Root
17.039487302049693	D	Root;1;Root;2;Root;3
17.48041262550099	S	Root;2;n1;4;n2;5
17.48041262550099	S	Root;3;n1;6;n2;7
20.0712906575407	S	n2;5;n3;8;n4;9
20.0712906575407	S	n2;7;n3;10;n4;11
21.275464859605666	D	n1;4;n1;12;n1;13
23.623252967945383	S	n1;12;n5;14;n6;15
23.623252967945383	S	n1;13;n5;16;n6;17
23.623252967945383	S	n1;6;n5;18;n6;19
27.487822499537366	E	n3;8
27.487822499537366	E	n3;10
28.25208337168313	S	n5;14;n7;20;n8;21
28.25208337168313	S	n5;16;n7;22;n8;23
28.25208337168313	S	n5;18;n7;24;n8;25
31.539863128050797	E	n6;15
31.539863128050797	E	n6;17
31.539863128050797	E	n6;19
33.85041944564136	S	n8;21;n9;26;n10;27
33.85041944564136	S	n8;23;n9;28;n10;29
33.85041944564136	S	n8;25;n9;30;n10;31
35.69449990392345	S	n9;26;n11;32;n12;33
35.69449990392345	S	n9;28;n11;34;n12;35
35.69449990392345	S	n9;30;n11;36;n12;37
35.80958368897179	S	n11;32;n13;38;n14;39
35.80958368897179	S	n11;34;n13;40;n14;41
35.80958368897179	S	n11;36;n13;42;n14;43
35.84003308740881	E	n14;39
35.84003308740881	E	n14;41
35.84003308740881	E	n14;43
37.89854214181056	D	n12;37;n12;44;n12;45
38.30429806456883	L	n13;42
41.20061611946893	E	n12;33
41.20061611946893	E	n12;35
41.20061611946893	E	n12;44
41.20061611946893	E	n12;45
41.286533039029436	L	n13;38
43.49186916900761	S	n10;27;n15;46;n16;47
43.49186916900761	S	n10;29;n15;48;n16;49
43.49186916900761	S	n10;31;n15;50;n16;51
43.97870363374689	D	n15;48;n15;52;n15;53
44.24957801185289	D	n16;51;n16;54;n16;55
44.592337476338976	S	n13;40;n17;56;n18;57
44.84633224568382	D	n7;22;n7;58;n7;59
45.06322162628801	S	n4;9;n19;60;n20;61
45.06322162628801	S	n4;11;n19;62;n20;63
45.29573844375236	S	n17;56;n21;64;n22;65
47.218428785078885	S	n20;61;n23;66;n24;67
47.218428785078885	S	n20;63;n23;68;n24;69
47.39009584644335	S	n23;66;n25;70;n26;71
47.39009584644335	S	n23;68;n25;72;n26;73
47.419972768777484	D	n16;47;n16;74;n16;75
47.86507693263344	S	n25;70;n27;76;n28;77
47.86507693263344	S	n25;72;n27;78;n28;79
48.215809234087786	S	n24;67;n29;80;n30;81
48.215809234087786	S	n24;69;n29;82;n30;83
48.23105563304068	S	n22;65;n31;84;n32;85
48.88656973700179	L	n16;49
48.98195628849717	S	n30;81;n33;86;n34;87
48.98195628849717	S	n30;83;n33;88;n34;89
49.57512413856676	S	n16;74;n35;90;n36;91
49.57512413856676	S	n16;75;n35;92;n36;93
49.57512413856676	S	n16;54;n35;94;n36;95
49.57512413856676	S	n16;55;n35;96;n36;97
49.756307549068744	D	n36;95;n36;98;n36;99
49.77851864598951	F	n32;85
49.77851864598951	F	n21;64
49.77851864598951	F	n15;46
49.77851864598951	F	n15;52
49.77851864598951	F	n15;53
49.77851864598951	F	n15;50
49.77851864598951	F	n29;80
49.77851864598951	F	n29;82
49.77851864598951	F	n36;91
49.77851864598951	F	n36;93
49.77851864598951	F	n36;98
49.77851864598951	F	n36;99
49.77851864598951	F	n36;97
49.77851864598951	F	n34;87
49.77851864598951	F	n34;89
49.77851864598951	F	n26;71
49.77851864598951	F	n26;73
49.77851864598951	F	n18;57
49.77851864598951	F	n28;77
49.77851864598951	F	n28;79
49.77851864598951	F	n7;20
49.77851864598951	F	n7;58
49.77851864598951	F	n7;59
49.77851864598951	F	n7;24
49.77851864598951	F	n27;76
49.77851864598951	F	n27;78
49.77851864598951	F	n19;60
49.77851864598951	F	n19;62
49.77851864598951	F	n33;86
49.77851864598951	F	n33;88
49.77851864598951	F	n35;90
49.77851864598951	F	n35;92
49.77851864598951	F	n35;94
49.77851864598951	F	n35;96
49.77851864598951	F	n31;84
