POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	1
1	2	-	1
2	3	+	1
3	4	+	1
4	5	-	1
5	6	-	1
6	7	-	1
7	8	-	1
8	9	+	2
9	9	+	4
10	9	+	5
11	10	+	2
12	10	+	3
13	13	-	1
14	14	+	1
15	16	+	2
16	16	+	4
17	16	+	5
18	18	-	1
19	19	-	4
20	19	-	5
21	19	-	3
22	20	+	4
23	20	+	5
24	20	+	3
25	21	-	1
26	22	+	1
27	23	-	2
28	23	-	4
29	24	-	1
30	26	-	2
31	26	-	4
32	26	-	5
33	27	+	2
34	27	+	3
35	28	-	2
36	28	-	3
37	30	+	2
38	30	+	4
39	30	+	5
40	31	+	2
41	31	+	3
42	32	+	1
43	33	-	2
44	33	-	3
45	34	+	2
46	34	+	3
47	35	+	2
48	35	+	3
49	36	-	2
50	36	-	3
51	37	-	1
52	38	-	2
53	38	-	3
54	39	-	6
55	39	-	7
56	39	-	5
57	39	-	3
58	40	+	1
59	41	+	1
60	42	-	2
61	42	-	3
62	45	-	1
63	46	-	2
64	46	-	3
65	48	+	2
66	49	+	1
67	50	-	3
