POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	9
1	2	-	12
2	2	-	13
3	3	+	13
4	3	+	15
5	4	+	9
6	5	-	9
7	6	-	15
8	7	-	11
9	9	+	39
10	9	+	41
11	9	+	43
12	9	+	45
13	9	+	47
14	9	+	49
15	10	+	19
16	10	+	21
17	13	-	9
18	14	+	10
19	14	+	11
20	16	+	33
21	16	+	35
22	16	+	37
23	18	-	9
24	19	-	25
25	19	-	27
26	20	+	31
27	20	+	33
28	20	+	35
29	20	+	37
30	20	+	39
31	21	-	9
32	22	+	13
33	23	-	28
34	23	-	29
35	23	-	30
36	23	-	31
37	23	-	25
38	24	-	15
39	24	-	18
40	24	-	19
41	26	-	27
42	26	-	29
43	26	-	31
44	27	+	23
45	27	+	25
46	28	-	19
47	30	+	39
48	30	+	41
49	30	+	43
50	30	+	45
51	30	+	47
52	31	+	25
53	31	+	30
54	31	+	31
55	31	+	29
56	32	+	15
57	33	-	19
58	33	-	21
59	34	+	21
60	34	+	23
61	34	+	25
62	35	+	21
63	35	+	27
64	36	-	17
65	36	-	19
66	37	-	19
67	37	-	21
68	38	-	17
69	38	-	19
70	39	-	47
71	39	-	49
72	39	-	51
73	39	-	53
74	40	+	19
75	40	+	21
76	40	+	23
77	41	+	11
78	42	-	21
79	42	-	23
80	45	-	17
81	45	-	19
82	46	-	17
83	48	+	13
84	49	+	14
85	49	+	15
86	50	-	13
