TIME	EVENT	NODES
0	O	1_Root
0	O	2_Root
0	O	3_Root
0	O	4_Root
0	O	5_Root
0	O	6_Root
0	O	7_Root
0	O	8_Root
0	O	9_Root
0	O	10_Root
0	O	11_Root
0	O	12_Root
0	O	13_Root
0	O	14_Root
0	O	15_Root
0	O	16_Root
0	O	17_Root
0	O	18_Root
0	O	19_Root
0	O	20_Root
0	O	21_Root
0	O	22_Root
0	O	23_Root
0	O	24_Root
0	O	25_Root
0	O	26_Root
0	O	27_Root
0	O	28_Root
0	O	29_Root
0	O	30_Root
0	O	31_Root
0	O	32_Root
0	O	33_Root
0	O	34_Root
0	O	35_Root
0	O	36_Root
0	O	37_Root
0	O	38_Root
0	O	39_Root
0	O	40_Root
0	O	41_Root
0	O	42_Root
0	O	43_Root
0	O	44_Root
0	O	45_Root
0	O	46_Root
0	O	47_Root
0	O	48_Root
0	O	49_Root
0	O	50_Root
0.7582659695432026	D	36_1;36_2;36_3
0.7975437142429916	L	11_1
0.8172463337160799	L	8_1
0.8245395653603261	D	42_1;42_2;42_3
1.737519241105982	L	47_1
2.011826802208137	D	33_1;33_2;33_3
2.1058133014486704	L	14_1
2.5941318226869323	D	33_3;33_4;33_5
2.921021959792169	D	42_3;42_4;42_5
3.1191234820095817	L	20_1
3.6817591213310576	L	31_1
3.8850229274321473	D	13_1;13_2;13_3
4.055058675908064	D	2_1;2_2;2_3
4.131907385734554	D	49_1;49_2;49_3
