TIME	EVENT	NODES
28.427441171259606	D	36_156;36_162;36_163
28.69147984579548	D	5_44;5_46;5_47
28.767022394288567	D	42_252;42_270;42_271
28.865774613082692	D	42_254;42_274;42_275
29.212537422600573	L	27_68
29.212537422600573	AT	n26;27_59;n26;27_72;n31;27_73
29.28515366279582	L	27_73
29.28515366279582	AT	n17;27_36;n17;27_74;n31;27_75
29.344116780064113	D	3_60;3_68;3_69
29.464277580629684	D	32_22;32_26;32_27
29.740181836460483	L	5_46
29.740181836460483	AT	n35;5_50;n35;5_54;n31;5_55
29.74425572275169	L	10_42
29.74425572275169	AT	n2;10_34;n2;10_48;n31;10_49
29.92924077090878	D	24_124;24_158;24_159
30.0178637050785	LT	n31;49_118;n31;49_138;n33;49_139
30.073257315400053	D	26_68;26_80;26_81
30.217752349967533	D	44_70;44_84;44_85
