TIME	EVENT	NODES
0	O	Root
4.187511077714989	S	Root;1;n1;2;n2;3
4.844293709453745	S	n1;2;n3;4;n4;5
6.343788664382323	S	n4;5;n5;6;n6;7
7.461657474483729	S	n6;7;n7;8;n8;9
7.561226457205606	L	n5;6
8.314981374060952	S	n8;9;n9;10;n10;11
10.466723733933428	L	n10;11
10.466723733933428	T	n7;8;n7;12;n10;13
11.357004905749223	E	n7;12
12.640522524893967	D	n2;3;n2;14;n2;15
14.544656969999389	T	n2;14;n2;16;n11;17
16.200793963600574	E	n3;4
16.567403830161158	S	n10;13;n13;18;n14;19
17.332624481574445	E	n13;18
19.16324440740152	S	n9;10;n15;20;n16;21
19.770507978823375	L	n11;17
20.931016544615968	D	n2;15;n2;22;n2;23
21.042912484040116	S	n14;19;n17;24;n18;25
21.218135116893492	S	n16;21;n19;26;n20;27
21.90786886805524	S	n19;26;n21;28;n22;29
22.1780362179635	L	n2;16
22.33281514080821	L	n2;23
23.954336085282627	S	n22;29;n25;30;n26;31
24.08080022667432	S	n18;25;n27;32;n28;33
25.68241950152096	L	n17;24
25.68241950152096	T	n20;27;n20;34;n17;35
27.931209110848865	S	n25;30;n31;36;n32;37
27.971072119891755	E	n21;28
29.434590902995016	L	n27;32
29.434590902995016	T	n26;31;n26;38;n27;39
29.459769704529013	S	n26;38;n33;40;n34;41
29.73612421315088	S	n20;34;n37;42;n38;43
30.389199055551433	F	n17;35
30.389199055551433	F	n37;42
30.389199055551433	F	n27;39
30.389199055551433	F	n2;22
30.389199055551433	F	n31;36
30.389199055551433	F	n34;41
30.389199055551433	F	n38;43
30.389199055551433	F	n32;37
30.389199055551433	F	n28;33
30.389199055551433	F	n33;40
30.389199055551433	F	n15;20
