POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	1
1	2	+	2
2	2	+	3
3	3	+	1
4	4	-	1
5	5	-	1
6	6	+	1
7	7	-	1
8	9	-	1
9	10	-	1
10	12	-	1
11	13	-	2
12	13	-	3
13	15	-	1
14	16	+	1
15	17	+	1
16	18	+	1
17	19	-	1
18	21	-	1
19	22	-	1
20	23	+	1
21	24	-	1
22	25	-	1
23	26	+	1
24	27	-	1
25	28	+	1
26	29	-	1
27	30	-	1
28	32	+	1
29	33	+	2
30	33	+	4
31	33	+	5
32	34	+	1
33	35	-	1
34	36	-	2
35	36	-	3
36	37	+	1
37	38	-	1
38	39	-	1
39	40	-	1
40	41	-	1
41	42	+	2
42	42	+	4
43	42	+	5
44	43	-	1
45	44	-	1
46	45	+	1
47	46	+	1
48	48	+	1
49	49	-	2
50	49	-	3
51	50	-	1
