POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	11
1	2	+	19
2	3	+	9
3	5	-	9
4	6	+	9
5	7	-	9
6	9	-	11
7	10	-	9
8	12	-	11
9	13	-	17
10	13	-	19
11	15	-	9
12	16	+	9
13	17	+	11
14	18	+	9
15	19	-	11
16	21	-	10
17	21	-	11
18	23	+	9
19	24	-	13
20	24	-	15
21	25	-	11
22	25	-	13
23	26	+	9
24	27	-	13
25	27	-	15
26	28	+	9
27	29	-	11
28	30	-	9
29	32	+	9
30	33	+	33
31	33	+	35
32	33	+	37
33	34	+	9
34	35	-	15
35	35	-	17
36	36	-	19
37	36	-	21
38	37	+	15
39	37	+	17
40	38	-	15
41	39	-	9
42	40	-	9
43	41	-	9
44	42	+	31
45	42	+	33
46	42	+	35
47	42	+	37
48	42	+	39
49	43	-	9
50	44	-	9
51	45	+	9
52	46	+	11
53	48	+	15
54	48	+	17
55	49	-	20
56	49	-	19
57	50	-	9
