FAMILY	Root	Initial	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38
Fam1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fam2	1	0	2	2	2	2	1	1	1	1	1	1	2	2	1	1	0	0	1	1	0	0	0	0	2	2	0	0	1	1	2	2	0	0	0	0	3	3	0	0
Fam3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	3	3	1	1	1	1	4	4	3	3	1	1	3	3
Fam4	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	1	3	3	1	1	1	1	4	4
Fam5	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fam6	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1
Fam7	1	0	1	1	1	1	1	1	1	1	1	1	2	2	3	3	1	1	5	5	1	1	1	1	6	6	1	1	6	6	4	4	1	1	1	1	4	4	1	1
Fam8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam9	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	3	1	1	1	1	0	0	1	1	2	2	0	0	3	3	1	1	0	0	2	2
Fam10	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	1	1	1	0	0	1	1
Fam11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	2	2	1	1	0	0	2	2	1	1	1	1	2	2	1	1
Fam13	1	0	2	2	2	2	2	2	2	2	2	2	1	1	3	3	3	3	3	3	3	3	3	3	0	0	3	3	3	3	0	0	3	3	3	3	0	0	3	3
Fam14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam15	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1
Fam16	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	2	2	4	4	2	2	4	4	3	3	2	2	2	2	3	3	3	3
Fam17	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	0	0	2	2	2	2	1	1
Fam18	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	6	6	7	7	1	1	7	7	0	0	1	1	8	8	7	7	1	1	6	6
Fam19	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	2	2	2	2	1	1	2	2	0	0	1	1	2	2	3	3	1	1	1	1
Fam20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam21	1	0	1	1	1	1	1	1	1	1	2	2	1	1	2	2	0	0	2	2	0	0	0	0	1	1	0	0	2	2	1	1	0	0	0	0	2	2	0	0
Fam22	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam23	1	0	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	8	8	1	1	1	1	8	8	1	1	1	1	10	10	1	1
Fam24	1	0	1	1	1	1	2	2	2	2	2	2	2	2	5	5	2	2	6	6	2	2	2	2	2	2	4	4	7	7	2	2	4	4	5	5	2	2	2	2
Fam25	1	0	1	1	1	1	1	1	2	2	2	2	1	1	4	4	4	4	4	4	4	4	4	4	1	1	4	4	4	4	0	0	4	4	4	4	0	0	4	4
Fam26	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	3	3	3	1	1	2	2	1	1	1	1	2	2	2	2	1	1	2	2
Fam27	1	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	3	3	1	1	1	1	2	2	3	3	1	1	1	1
Fam28	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	4	4	2	2	1	1	4	4	3	3
Fam29	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	2	2	1	1	1	1	0	0	1	1	2	2	0	0	1	1	1	1	0	0	1	1
Fam30	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	3	1	1	2	2	3	3	2	2
Fam31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam32	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1
Fam33	1	0	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	2	2	3	3	3	3	3	3	3	3	2	2	4	4	3	3	2	2	4	4	3	3
Fam34	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
Fam35	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Fam36	1	0	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	7	7	3	3	3	3	8	8	3	3	2	2	8	8	4	4
Fam37	1	0	1	1	1	1	2	2	2	2	2	2	2	2	3	3	2	2	4	4	2	2	2	2	2	2	2	2	4	4	2	2	1	1	2	2	2	2	3	3
Fam38	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1
Fam39	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	2	2	1	1	0	0	1	1
Fam40	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	4	4	1	1	2	2	4	4	3	3
Fam41	1	0	1	1	1	1	1	1	1	1	1	1	0	0	4	4	1	1	4	4	1	1	1	1	1	1	0	0	4	4	1	1	0	0	0	0	1	1	1	1
Fam42	1	0	3	3	3	3	3	3	5	5	5	5	2	2	8	8	7	7	8	8	7	7	8	8	4	4	8	8	7	7	4	4	8	8	11	11	4	4	8	8
Fam43	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	3	3	2	2	1	1	3	3	2	2
Fam44	1	0	1	1	1	1	1	1	1	1	1	1	3	3	0	0	1	1	1	1	1	1	1	1	3	3	1	1	1	1	3	3	2	2	1	1	3	3	1	1
Fam45	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
Fam46	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	3	3	3	3	2	2	3	3	1	1	2	2	3	3	3	3	2	2	2	2
Fam47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam48	1	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	8	8
Fam49	1	0	2	2	2	2	2	2	2	2	2	2	2	2	4	4	3	3	5	5	3	3	3	3	2	2	1	1	4	4	2	2	1	1	1	1	2	2	4	4
Fam50	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	1	0	0	0	0
