TIME	EVENT	NODES
4.187511077714989	S	Root;n1;n2
4.844293709453745	S	n1;n3;n4
6.343788664382323	S	n4;n5;n6
7.461657474483729	S	n6;n7;n8
8.314981374060952	S	n8;n9;n10
11.357004905749223	E	n7
13.146754713478709	S	n5;n11;n12
16.200793963600574	E	n3
16.567403830161158	S	n10;n13;n14
17.332624481574445	E	n13
19.16324440740152	S	n9;n15;n16
21.042912484040116	S	n14;n17;n18
21.218135116893492	S	n16;n19;n20
21.90786886805524	S	n19;n21;n22
22.3432788972331	S	n11;n23;n24
23.954336085282627	S	n22;n25;n26
24.08080022667432	S	n18;n27;n28
27.554947452108376	S	n23;n29;n30
27.931209110848865	S	n25;n31;n32
27.971072119891755	E	n21
29.035416467045504	E	n30
29.459769704529013	S	n26;n33;n34
29.658832958454028	S	n29;n35;n36
29.73612421315088	S	n20;n37;n38
30.389199055551433	F	n32
30.389199055551433	F	n38
30.389199055551433	F	n2
30.389199055551433	F	n37
30.389199055551433	F	n27
30.389199055551433	F	n34
30.389199055551433	F	n12
30.389199055551433	F	n36
30.389199055551433	F	n15
30.389199055551433	F	n35
30.389199055551433	F	n33
30.389199055551433	F	n31
30.389199055551433	F	n17
30.389199055551433	F	n24
30.389199055551433	F	n28
