TIME	EVENT	NODES
0	O	1_Root
0	O	2_Root
0	O	3_Root
0	O	4_Root
0	O	5_Root
0	O	6_Root
0	O	7_Root
0	O	8_Root
0	O	9_Root
0	O	10_Root
0	O	11_Root
0	O	12_Root
0	O	13_Root
0	O	14_Root
0	O	15_Root
0	O	16_Root
0	O	17_Root
0	O	18_Root
0	O	19_Root
0	O	20_Root
0	O	21_Root
0	O	22_Root
0	O	23_Root
0	O	24_Root
0	O	25_Root
0	O	26_Root
0	O	27_Root
0	O	28_Root
0	O	29_Root
0	O	30_Root
0	O	31_Root
0	O	32_Root
0	O	33_Root
0	O	34_Root
0	O	35_Root
0	O	36_Root
0	O	37_Root
0	O	38_Root
0	O	39_Root
0	O	40_Root
0	O	41_Root
0	O	42_Root
0	O	43_Root
0	O	44_Root
0	O	45_Root
0	O	46_Root
0	O	47_Root
0	O	48_Root
0	O	49_Root
0	O	50_Root
0.4324414927621048	D	48_1;48_2;48_3
0.760401724054212	L	47_1
1.5411787969249158	L	48_3
2.0867922777039536	D	16_1;16_2;16_3
2.4391951613681737	D	20_1;20_2;20_3
3.9857519069317022	D	26_1;26_2;26_3
4.411090442656905	D	50_1;50_2;50_3
4.786054823799791	D	9_1;9_2;9_3
4.884431279157168	D	23_1;23_2;23_3
5.057688681258828	L	12_1
6.058905365895216	D	30_1;30_2;30_3
6.240304675616622	D	39_1;39_2;39_3
6.333235868503725	L	29_1
6.558628025601338	D	9_3;9_4;9_5
6.761330080486427	L	15_1
6.839053964055205	D	19_1;19_2;19_3
7.053220741186492	D	33_1;33_2;33_3
7.947966360138864	D	16_3;16_4;16_5
9.212232948427253	D	28_1;28_2;28_3
9.884991823393099	D	30_3;30_4;30_5
10.618037412296818	D	31_1;31_2;31_3
10.763606702530257	D	26_3;26_4;26_5
10.778148368844985	L	17_1
11.30714562006451	D	10_1;10_2;10_3
11.831355085433904	D	23_3;23_4;23_5
12.562096156725902	L	50_2
12.839434812778283	L	25_1
13.187952698650571	D	42_1;42_2;42_3
13.343867066958076	D	38_1;38_2;38_3
13.751495443857713	D	39_2;39_4;39_5
13.980905630169964	D	39_4;39_6;39_7
14.968511274680889	D	19_2;19_4;19_5
15.139532078740846	D	46_1;46_2;46_3
15.2915233813658	D	27_1;27_2;27_3
15.369247322361339	L	11_1
15.969587668844238	L	44_1
16.078229271964183	L	43_1
16.30426879869044	D	20_2;20_4;20_5
16.34733369321462	D	35_1;35_2;35_3
17.039487302049693	D	34_1;34_2;34_3
17.099389791480853	L	23_5
17.3917391829775	D	36_1;36_2;36_3
