TIME	EVENT	NODES
28.56795218850577	D	9_40;9_50;9_51
29.45230439952341	L	20_32
29.964444483988345	D	9_48;9_54;9_55
30.206594393641616	L	7_12
30.671952304540614	L	38_18
30.722338595649607	D	37_18;37_22;37_23
31.002183563992077	L	1_8
32.11382673750804	D	20_38;20_42;20_43
32.51966199105011	D	28_18;28_20;28_21
32.531092880993235	L	39_50
32.73325195797415	D	27_24;27_28;27_29
33.23779018405534	L	9_55
33.747726412015425	D	23_20;23_32;23_33
33.77417403435229	D	16_32;16_40;16_41
36.00706026432462	D	49_12;49_34;49_35
36.23601180587903	L	45_18
36.55564120704656	D	37_20;37_38;37_39
37.07662830455107	L	31_24
37.139073785648215	D	46_18;46_26;46_27
37.31403489736905	D	20_30;20_76;20_77
37.32855589735317	D	16_40;16_66;16_67
37.37000658718579	L	30_44
37.44869583844095	D	6_14;6_22;6_23
37.98981798180601	L	9_46
38.012742824715005	D	14_8;14_24;14_25
39.01768558246683	D	18_8;18_16;18_17
39.11805761269933	D	30_38;30_82;30_83
39.27718346301519	L	9_42
39.67310077371612	L	19_24
39.75177169185255	D	16_66;16_70;16_71
40.17614895283947	D	21_8;21_22;21_23
40.20151311661531	L	40_22
40.24316813253017	D	9_38;9_108;9_109
40.919154746840306	D	26_28;26_58;26_59
41.2336612106053	L	39_48
41.32217929156716	D	20_34;20_82;20_83
42.23015123173	L	20_76
42.60690805316624	D	46_27;46_32;46_33
42.65649150646055	D	27_28;27_48;27_49
42.73493510227303	L	39_46
42.76334898493048	L	23_22
42.83802189679627	D	9_54;9_110;9_111
43.22207801966577	L	42_20
43.41839085862139	D	23_24;23_66;23_67
43.572280111873944	D	20_36;20_94;20_95
43.59046078106644	D	23_33;23_78;23_79
43.761270998521695	D	32_14;32_24;32_25
44.50586119432905	D	41_10;41_24;41_25
44.61494390098732	D	20_43;20_106;20_107
44.675330132674766	L	30_82
44.84633224568382	D	34_22;34_58;34_59
44.98605737039153	D	9_111;9_140;9_141
45.97308854344656	D	37_23;37_66;37_67
46.40248486844502	D	4_8;4_24;4_25
46.800123700052204	L	16_67
47.19452091594198	D	7_10;7_28;7_29
48.09098725443661	D	9_140;9_224;9_225
48.77615194252078	D	30_40;30_174;30_175
48.923907017624096	L	37_39
49.473239901050626	L	27_22
49.5263064512221	D	21_23;21_82;21_83
49.57712777017039	D	23_67;23_158;23_159
