TIME	EVENT	NODES
0	O	Root
0.4324414927621048	D	Root;1;Root;2;Root;3
1.5411787969249158	L	Root;3
17.48041262550099	S	Root;2;n1;4;n2;5
20.0712906575407	S	n2;5;n3;6;n4;7
23.623252967945383	S	n1;4;n5;8;n6;9
23.97000485444643	D	n3;6;n3;10;n3;11
27.487822499537366	E	n3;10
27.487822499537366	E	n3;11
28.25208337168313	S	n5;8;n7;12;n8;13
31.539863128050797	E	n6;9
33.85041944564136	S	n8;13;n9;14;n10;15
35.69449990392345	S	n9;14;n11;16;n12;17
35.80958368897179	S	n11;16;n13;18;n14;19
35.84003308740881	E	n14;19
36.02344996999908	L	n13;18
41.20061611946893	E	n12;17
43.49186916900761	S	n10;15;n15;20;n16;21
45.06322162628801	S	n4;7;n19;22;n20;23
47.218428785078885	S	n20;23;n23;24;n24;25
47.39009584644335	S	n23;24;n25;26;n26;27
47.86507693263344	S	n25;26;n27;28;n28;29
48.215809234087786	S	n24;25;n29;30;n30;31
48.53524280199724	D	n28;29;n28;32;n28;33
48.98195628849717	S	n30;31;n33;34;n34;35
49.57512413856676	S	n16;21;n35;36;n36;37
49.77851864598951	F	n15;20
49.77851864598951	F	n29;30
49.77851864598951	F	n36;37
49.77851864598951	F	n34;35
49.77851864598951	F	n26;27
49.77851864598951	F	n28;32
49.77851864598951	F	n28;33
49.77851864598951	F	n7;12
49.77851864598951	F	n27;28
49.77851864598951	F	n19;22
49.77851864598951	F	n33;34
49.77851864598951	F	n35;36
