POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	34
1	2	-	50
2	3	+	48
3	4	+	30
4	5	-	28
5	6	-	42
6	7	-	34
7	9	+	208
8	9	+	210
9	9	+	212
10	9	+	214
11	9	+	216
12	9	+	218
13	9	+	220
14	9	+	222
15	10	+	64
16	13	-	36
17	13	-	38
18	14	+	50
19	16	+	126
20	16	+	128
21	16	+	130
22	16	+	132
23	18	-	30
24	20	+	160
25	20	+	162
26	20	+	164
27	20	+	166
28	20	+	168
29	20	+	170
30	20	+	172
31	21	-	54
32	21	-	56
33	21	-	58
34	21	-	72
35	21	-	73
36	23	-	118
37	23	-	120
38	26	-	116
39	26	-	118
40	26	-	120
41	26	-	122
42	27	+	132
43	27	+	133
44	27	+	100
45	27	+	102
46	27	+	104
47	28	-	48
48	28	-	50
49	30	+	146
50	30	+	148
51	30	+	150
52	31	+	86
53	31	+	88
54	32	+	36
55	33	-	82
56	33	-	84
57	33	-	86
58	34	+	76
59	34	+	78
60	35	+	72
61	35	+	74
62	36	-	86
63	36	-	88
64	36	-	90
65	36	-	92
66	37	-	84
67	37	-	86
68	37	-	88
69	37	-	90
70	39	-	150
71	39	-	152
72	39	-	154
73	39	-	156
74	39	-	158
75	39	-	160
76	40	+	98
77	40	+	100
78	40	+	102
79	40	+	104
80	41	+	44
81	41	+	46
82	42	-	74
83	45	-	58
84	45	-	60
85	46	-	58
86	46	-	60
87	48	+	28
88	49	+	76
89	49	+	78
90	50	-	34
