Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

dataset_001	T001	38	1	1	5.16963	1.1169	2.00058	(((((2_11_0:0.02447607,2_3_0:0.04614955):0.02250233,(8_3_0:0.03993155,(5_3_0:0.01791617,1_3_0:0.01455031):0.02602127):0.02787409):0.18908840,((((6_7_0:0.02268482,4_7_0:0.01351820):0.02136699,(6_8_0:0.01787756,4_8_0:0.02119825):0.03193986):0.08972963,(4_6_0:0.01760705,6_6_0:0.01672055):0.18601743):0.14998999,((6_3_0:0.00528783,4_3_0:0.02004769):0.03419996,(11_1_0:0.01788476,11_0_0:0.01477281):0.01830880):0.10253105):0.00832857):0.51419366,(((6_5_0:0.01593061,4_5_0:0.01144731):0.21757672,(((1_5_0:0.02850097,5_5_0:0.00857116):0.03467177,8_5_0:0.06758655):0.03636129,2_5_0:0.05932472):0.19246936):0.02374405,((4_0_0:0.01009477,6_0_0:0.01015076):0.09323561,(((8_9_0:0.03977290,(1_9_0:0.02875061,5_9_0:0.01235191):0.03410817):0.01782880,2_9_0:0.04206575):0.17370085,((2_4_0:0.05811609,((1_4_0:0.02085087,5_4_0:0.01205308):0.01520684,8_4_0:0.05369920):0.02338270):0.02448589,(((5_10_0:0.00904855,1_10_0:0.04502442):0.03322673,8_10_0:0.07800457):0.03761078,2_10_0:0.03186379):0.02096535):0.06039133):0.00174412):0.15300492):0.17001393):0.24076607,((7_0_0:0.02961054,3_0_0:0.01435993):0.26156816,9_0_0:0.38838168):0.49529189);

dataset_002	T002	14	1	1	1.67037	0.440969	0.864518	(((15_0_0:0.17187826,12_0_0:0.10729276):0.14117230,8_0_0:0.21766805):0.11049864,(((9_0_0:0.11818500,((2_0_0:0.01731891,11_0_0:0.02032270):0.02114121,((9_1_0:0.00690481,7_0_0:0.00681586):0.02355454,3_0_0:0.01060330):0.02265109):0.02247764):0.02299444,11_1_0:0.14165265):0.22289855,((14_0_0:0.00115257,13_0_0:0.02357576):0.01532412,(10_0_0:0.00223879,5_0_0:0.00064309):0.05298620):0.09200310):0.07641802);

dataset_003	T003	25	1	1	5.58774	1.76481	2.82108	(((((((1_1_0:0.06817064,5_1_0:0.02988469):0.00428725,8_1_0:0.02527513):0.00567199,2_1_0:0.02647776):0.25233838,((((1_2_0:0.00353951,5_2_0:0.00940142):0.04581614,(1_0_0:0.05812263,5_0_0:0.00616640):0.01993001):0.00082196,8_0_0:0.11443643):0.01959893,2_0_0:0.00926376):0.23057365):0.14456105,(12_3_0:0.05111864,(4_0_0:0.04905315,6_0_0:0.00588810):0.10157928):0.38518394):0.12576720,((9_0_0:0.01085710,11_0_0:0.07311239):0.38170772,((7_0_0:0.01623176,3_0_0:0.01175400):0.00881000,10_0_0:0.08279247):0.06524416):0.59356428):0.00788767,((15_3_0:0.25142817,(14_3_0:0.00220532,13_3_0:0.05764778):0.08629496):0.11307749,(12_0_0:0.04140299,((13_0_0:0.01550271,14_0_0:0.00122472):0.24771609,15_0_0:0.22476168):0.00105910):0.10849089):1.39203902);

dataset_004	T004	17	1	1	1.15213	0.254951	0.46445	((((12_2_0:0.05867325,(15_2_0:0.06047033,14_2_0:0.04851635):0.00063066):0.06907951,(4_0_0:0.00196674,6_0_0:0.00652040):0.04446089):0.10402798,((12_0_0:0.00615161,13_2_0:0.00415443):0.01884298,(15_0_0:0.03706007,(14_0_0:0.00096607,9_0_0:0.00743772):0.02838159):0.00105857):0.13761613):0.02074298,((((13_0_0:0.01086736,11_1_0:0.00139492):0.04555025,9_1_0:0.08017777):0.08434560,11_0_0:0.05842965):0.01688980,((3_0_0:0.00612571,7_0_0:0.00913227):0.01047003,10_0_0:0.03434145):0.10955721):0.02808497);

dataset_005	T005	30	1	1	4.19222	0.756704	1.33589	(((11_2_0:0.03191830,(10_1_0:0.02439865,9_0_0:0.02925370):0.02180002):0.35336135,((((3_1_0:0.01748986,7_1_0:0.05369278):0.03316321,9_1_0:0.10556216):0.02610258,(11_1_0:0.05808334,9_3_0:0.14224113):0.01164252):0.00122126,11_0_0:0.05098392):0.11654622):0.17477277,((((((4_6_0:0.02664692,6_6_0:0.01251862):0.13023800,((4_5_0:0.01637766,6_5_0:0.01434731):0.00892705,15_0_0:0.04016034):0.17229459):0.06923348,10_0_0:0.13823810):0.05123846,(9_2_0:0.06871892,(8_0_0:0.06940101,(5_0_0:0.00762224,1_0_0:0.03061122):0.02951164):0.02656606):0.20589836):0.01004736,(((15_7_0:0.04205328,(7_0_0:0.07686803,3_0_0:0.01455642):0.01749470):0.01069133,12_0_0:0.10681307):0.08035524,(13_0_0:0.03496096,14_0_0:0.00377262):0.10298074):0.15046190):0.14629589,(((14_7_0:0.00466047,13_7_0:0.04258032):0.03256751,2_0_0:0.03864444):0.44184037,(6_4_0:0.02082938,4_4_0:0.01665660):0.18658569):0.13932949):0.10038680);

dataset_006	T006	17	1	1	1.76495	0.823626	0.989548	(11_0_0:0.16592196,(((4_0_0:0.00577643,6_0_0:0.01447318):0.08087435,(((8_0_0:0.01877009,(5_0_0:0.00507514,1_0_0:0.00735553):0.00864602):0.01047749,2_0_0:0.05204850):0.01084491,(10_0_0:0.05874004,(7_0_0:0.00197858,3_0_0:0.00882135):0.02008053):0.00945304):0.09153734):0.03796767,((12_1_0:0.05916711,(15_1_0:0.06086622,(14_1_0:0.00321256,13_1_0:0.01610189):0.02465398):0.00347258):0.10532170,((15_0_0:0.03548598,14_0_0:0.02350649):0.00069050,12_0_0:0.20028963):0.17541852):0.33372991):0.11418794);

dataset_007	T007	15	1	1	3.48835	0.94007	1.70281	(((12_1_0:0.11635374,12_0_0:0.18593340):0.07877335,((14_0_0:0.00370836,13_0_0:0.05355206):0.18063785,15_0_0:0.03874259):0.00348372):0.67536301,((9_0_0:0.48135562,((3_0_0:0.01034919,7_0_0:0.04459312):0.02421483,10_0_0:0.09711687):0.11398841):0.18827509,((((1_0_0:0.07349438,5_0_0:0.03666307):0.02259780,8_0_0:0.09970550):0.01664454,2_0_0:0.15265175):0.19977765,(6_0_0:0.01804611,4_0_0:0.02342058):0.39187550):0.06392437):0.09311029);

dataset_008	T008	13	1	1	4.54744	2.02742	2.93216	(((12_2_0:0.07147558,((13_2_0:0.03637092,14_2_0:0.00032340):0.04753975,15_2_0:0.05041358):0.00317620):0.94617882,(12_0_0:0.23535361,15_0_0:0.20962463):0.30797102):0.99415193,((6_0_0:0.01249234,4_0_0:0.02540948):0.56579708,(10_0_0:0.13407681,((3_1_0:0.01864982,7_1_0:0.03998869):0.03409424,(3_0_0:0.00756728,7_0_0:0.01624953):0.01741684):0.00246088):0.76550876):0.00515329);

dataset_009	T009	15	1	1	2.74622	0.668707	1.16108	(((8_0_0:0.05477029,2_0_0:0.03437342):0.07649042,(4_0_0:0.00732446,6_0_0:0.01106927):0.14264007):0.33866181,(((10_0_0:0.03169123,(3_0_0:0.00864692,7_0_0:0.02804883):0.02285163):0.06158301,(9_0_0:0.18350669,11_0_0:0.04897488):0.24838115):0.07345595,((11_2_0:0.03279780,9_2_0:0.09041071):0.22093032,((11_4_0:0.02254052,(9_4_0:0.05322996,9_5_0:0.07175214):0.12294346):0.14182404,9_3_0:0.29986398):0.02601173):0.12808381):0.16336315);

dataset_010	T010	15	1	1	0.891129	0.351967	0.524453	((((8_0_0:0.01774107,((1_0_0:0.01312713,5_0_0:0.00636972):0.01071643,(14_4_0:0.00193318,13_4_0:0.02425462):0.01073519):0.00317002):0.01332558,2_0_0:0.03216280):0.08586419,(6_0_0:0.00621702,4_0_0:0.00525167):0.04379210):0.03513642,((15_0_0:0.11254036,((14_3_0:0.00141907,13_3_0:0.01630670):0.02982761,(13_0_0:0.02101164,14_0_0:0.00129127):0.03014651):0.02852882):0.00215890,(12_2_0:0.00570571,12_0_0:0.01135077):0.08377696):0.23726794);

dataset_011	T011	38	1	1	5.93306	1.08034	1.96198	(((((2_7_0:0.06462886,((8_7_0:0.00593063,5_10_0:0.01144849):0.00624121,(1_7_0:0.04422436,5_7_0:0.00308042):0.07475074):0.06171835):0.10104238,(6_8_0:0.03340512,4_8_0:0.01028626):0.08791926):0.04479371,((4_4_0:0.01355825,6_4_0:0.02362035):0.06016633,((5_8_0:0.00485795,1_8_0:0.02831007):0.04163110,2_8_0:0.08831903):0.19829462):0.02853269):0.14012908,((((2_0_0:0.00369579,2_13_0:0.01850875):0.11303136,(((5_0_0:0.01510858,1_0_0:0.01935370):0.07914093,8_0_0:0.04988225):0.02927186,(3_1_0:0.02218199,7_1_0:0.01565508):0.04679892):0.00186345):0.37134972,10_1_0:0.09257415):0.45456996,(((1_10_0:0.03778282,8_10_0:0.11308051):0.00249316,2_10_0:0.04995644):0.36115397,(9_1_0:0.03018199,11_1_0:0.06937691):0.06747144):0.02118170):0.11474827):0.00812789,(((8_9_0:0.03039456,(1_9_0:0.07787013,5_9_0:0.00897479):0.05781611):0.22202481,(6_9_0:0.01328085,4_9_0:0.02194212):0.54751151):0.02643442,((((5_6_0:0.02000659,1_6_0:0.06076524):0.02625832,(1_11_0:0.00585856,5_11_0:0.01669924):0.05523289):0.00123416,(8_12_0:0.03681446,8_6_0:0.00759554):0.11130380):0.30267424,(6_6_0:0.04380798,4_6_0:0.01529679):0.48692105):0.11560839):0.23530456);

dataset_012	T012	8	1	1	1.36347	0.625539	0.927379	((14_0_0:0.00489094,13_0_0:0.02666893):0.27517155,(((13_1_0:0.06412720,14_1_0:0.00344638):0.06884502,(15_1_0:0.11354555,12_0_0:0.02287414):0.23987591):0.01010066,(12_1_0:0.17007990,15_0_0:0.03911519):0.06270946):0.26201644);

dataset_013	T013	12	1	1	2.52391	0.880638	1.54895	(((10_2_0:0.19448639,(10_0_0:0.26711191,((7_0_0:0.00690318,3_0_0:0.01443839):0.00106964,(6_3_0:0.01595295,4_3_0:0.01769890):0.04158737):0.02566933):0.04201975):0.15442817,(2_3_0:0.04512223,(4_0_0:0.01136821,6_0_0:0.02822960):0.03065727):0.40785250):0.20156986,((4_4_0:0.00703666,6_4_0:0.02294781):0.10712468,11_0_0:0.70548007):0.17515784);

dataset_014	T014	12	1	1	1.46985	0.513732	0.949991	((((12_2_0:0.01516463,(14_2_0:0.00339577,13_2_0:0.01683738):0.13188053):0.04582158,15_2_0:0.02930335):0.02693657,(12_0_0:0.10785230,(15_0_0:0.01926378,(14_0_0:0.00079566,13_0_0:0.00462930):0.19214105):0.00283487):0.12181387):0.11484042,(12_1_0:0.00119513,((13_1_0:0.08659330,14_1_0:0.00043325):0.18192211,15_1_0:0.12098372):0.00289821):0.24231812);

