TIME	EVENT	NODES
44.746000095155175	L	45_39
44.92648024648298	D	33_51;33_54;33_55
45.013134092333146	D	10_47;10_48;10_49
45.107199144919896	L	46_37
45.4427423337404	L	42_53
45.484995372439286	D	33_53;33_66;33_67
45.535393817973066	D	9_135;9_170;9_171
45.822430997974	D	36_45;36_62;36_63
46.59924595093727	D	39_89;39_116;39_117
46.984023525466995	D	39_116;39_120;39_121
47.049219795203435	D	30_101;30_132;30_133
47.12472618519582	D	1_19;1_28;1_29
48.25175610426605	D	41_27;41_50;41_51
48.47493657426459	D	30_105;30_172;30_173
48.684035727980614	D	35_53;35_86;35_87
48.8597409836075	D	16_83;16_152;16_153
48.87649415522608	D	39_93;39_184;39_185
48.88721278950041	D	26_75;26_142;26_143
49.23131242379073	D	41_51;41_56;41_57
49.54665920272011	D	27_63;27_134;27_135
