TIME	EVENT	NODES
0	O	Root
15.139532078740846	D	Root;1;Root;2;Root;3
17.48041262550099	S	Root;2;n1;4;n2;5
17.48041262550099	S	Root;3;n1;6;n2;7
17.710184555315262	L	n1;6
20.0712906575407	S	n2;5;n3;8;n4;9
20.0712906575407	S	n2;7;n3;10;n4;11
23.623252967945383	S	n1;4;n5;12;n6;13
26.43135009170341	D	n5;12;n5;14;n5;15
27.487822499537366	E	n3;8
27.487822499537366	E	n3;10
28.25208337168313	S	n5;14;n7;16;n8;17
28.25208337168313	S	n5;15;n7;18;n8;19
29.756382148195254	L	n8;19
31.539863128050797	E	n6;13
33.85041944564136	S	n8;17;n9;20;n10;21
35.69449990392345	S	n9;20;n11;22;n12;23
35.80958368897179	S	n11;22;n13;24;n14;25
35.84003308740881	E	n14;25
37.139073785648215	D	n7;18;n7;26;n7;27
38.56129629249651	D	n13;24;n13;28;n13;29
40.71392917101232	D	n12;23;n12;30;n12;31
41.20061611946893	E	n12;30
41.20061611946893	E	n12;31
42.60690805316624	D	n7;27;n7;32;n7;33
43.49186916900761	S	n10;21;n15;34;n16;35
44.592337476338976	S	n13;28;n17;36;n18;37
44.592337476338976	S	n13;29;n17;38;n18;39
45.06322162628801	S	n4;9;n19;40;n20;41
45.06322162628801	S	n4;11;n19;42;n20;43
45.107199144919896	L	n18;37
45.19040504205644	D	n15;34;n15;44;n15;45
45.29573844375236	S	n17;36;n21;46;n22;47
45.29573844375236	S	n17;38;n21;48;n22;49
46.47419584267363	L	n19;40
47.218428785078885	S	n20;41;n23;50;n24;51
47.218428785078885	S	n20;43;n23;52;n24;53
47.39009584644335	S	n23;50;n25;54;n26;55
47.39009584644335	S	n23;52;n25;56;n26;57
47.700192258894695	L	n22;47
47.86507693263344	S	n25;54;n27;58;n28;59
47.86507693263344	S	n25;56;n27;60;n28;61
48.215809234087786	S	n24;51;n29;62;n30;63
48.215809234087786	S	n24;53;n29;64;n30;65
48.23105563304068	S	n22;49;n31;66;n32;67
48.98195628849717	S	n30;63;n33;68;n34;69
48.98195628849717	S	n30;65;n33;70;n34;71
48.99009771369533	D	n29;64;n29;72;n29;73
49.118744665686535	D	n19;42;n19;74;n19;75
49.38336028238659	D	n19;75;n19;76;n19;77
49.57512413856676	S	n16;35;n35;78;n36;79
49.77851864598951	F	n32;67
49.77851864598951	F	n21;46
49.77851864598951	F	n21;48
49.77851864598951	F	n15;44
49.77851864598951	F	n15;45
49.77851864598951	F	n29;62
49.77851864598951	F	n29;72
49.77851864598951	F	n29;73
49.77851864598951	F	n36;79
49.77851864598951	F	n34;69
49.77851864598951	F	n34;71
49.77851864598951	F	n26;55
49.77851864598951	F	n26;57
49.77851864598951	F	n18;39
49.77851864598951	F	n28;59
49.77851864598951	F	n28;61
49.77851864598951	F	n7;16
49.77851864598951	F	n7;26
49.77851864598951	F	n7;32
49.77851864598951	F	n7;33
49.77851864598951	F	n27;58
49.77851864598951	F	n27;60
49.77851864598951	F	n19;74
49.77851864598951	F	n19;76
49.77851864598951	F	n19;77
49.77851864598951	F	n33;68
49.77851864598951	F	n33;70
49.77851864598951	F	n35;78
49.77851864598951	F	n31;66
