POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	44
1	1	+	45
2	2	-	51
3	3	+	49
4	4	+	31
5	5	-	29
6	6	-	43
7	7	-	35
8	9	+	209
9	9	+	211
10	9	+	213
11	9	+	288
12	9	+	289
13	9	+	217
14	9	+	219
15	9	+	221
16	9	+	223
17	10	+	65
18	13	-	37
19	13	-	39
20	14	+	51
21	16	+	127
22	16	+	129
23	16	+	131
24	16	+	133
25	18	-	31
26	19	-	67
27	20	+	161
28	20	+	163
29	20	+	165
30	20	+	167
31	20	+	169
32	20	+	171
33	20	+	173
34	21	-	55
35	21	-	57
36	21	-	59
37	21	-	61
38	23	-	119
39	23	-	121
40	26	-	117
41	26	-	144
42	26	-	145
43	26	-	121
44	26	-	123
45	27	+	99
46	27	+	101
47	27	+	103
48	27	+	105
49	28	-	49
50	28	-	51
51	30	+	147
52	30	+	149
53	30	+	151
54	31	+	87
55	31	+	89
56	32	+	37
57	33	-	83
58	33	-	85
59	33	-	87
60	34	+	77
61	34	+	79
62	35	+	73
63	35	+	75
64	36	-	87
65	36	-	89
66	36	-	91
67	36	-	93
68	37	-	85
69	37	-	87
70	37	-	89
71	37	-	91
72	38	-	53
73	39	-	164
74	39	-	165
75	39	-	163
76	39	-	153
77	39	-	155
78	39	-	157
79	39	-	159
80	39	-	161
81	40	+	99
82	40	+	101
83	40	+	103
84	40	+	105
85	41	+	45
86	41	+	47
87	42	-	75
88	45	-	59
89	45	-	61
90	46	-	59
91	46	-	61
92	48	+	32
93	48	+	33
94	49	+	77
95	49	+	79
96	50	-	35
