TIME	EVENT	NODES
13.232616325655442	D	7_27;7_30;7_31
13.473586681120354	LT	n12;7_31;n12;7_32;n3;7_33
13.578567342973802	L	5_19
13.586205031361208	D	23_21;23_26;23_27
13.806332124750478	L	18_21
14.110238563319262	D	46_25;46_28;46_29
14.277417208189837	D	45_15;45_16;45_17
14.443687755464293	D	45_16;45_18;45_19
14.628944481179408	L	2_31
14.645398495394758	D	12_17;12_18;12_19
14.662083832228692	LT	n12;34_15;n12;34_16;n3;34_17
14.684790215909093	AT	n9;18_22;n9;18_30;n12;18_31
15.1637121136504	L	12_19
15.765550676471198	LT	n12;2_33;n12;2_34;n11;2_35
15.942213170968978	D	36_37;36_50;36_51
16.02887383667165	LT	n12;1_15;n12;1_18;n3;1_19
16.250161746879296	D	44_25;44_26;44_27
16.303525088635848	L	42_61
16.303525088635848	AT	n9;42_72;n9;42_80;n12;42_81
16.331643811648295	D	45_17;45_20;45_21
16.945992786887675	D	25_23;25_40;25_41
17.09094657779554	D	46_27;46_32;46_33
17.132322276170456	D	7_32;7_46;7_47
17.824325829090217	L	43_17
17.824325829090217	AT	n11;43_16;n11;43_24;n12;43_25
17.83210237208315	L	18_31
17.83210237208315	AT	n9;18_27;n9;18_42;n12;18_43
18.079176964165875	LT	n12;44_26;n12;44_28;n14;44_29
18.56036585423684	LT	n12;45_19;n12;45_24;n2;45_25
18.611698526363895	D	36_51;36_64;36_65
18.6877580708296	L	27_27
18.909909647206607	L	42_81
18.909909647206607	AT	n14;42_89;n14;42_102;n12;42_103
19.458072951343095	D	23_26;23_42;23_43
19.687828765413943	LT	n12;49_35;n12;49_60;n2;49_61
19.89839529361754	D	19_17;19_24;19_25
20.32091472473011	LT	n12;19_25;n12;19_26;n11;19_27
20.331927180704607	LT	n12;23_27;n12;23_44;n15;23_45
20.594406381372107	LT	n12;23_44;n12;23_46;n16;23_47
21.006134977426797	D	45_24;45_32;45_33
21.072551689304763	D	9_15;9_32;9_33
21.214714791252664	L	42_59
21.214714791252664	AT	n16;42_107;n16;42_138;n12;42_139
21.232051094949597	LT	n12;46_29;n12;46_48;n17;46_49
21.3440472148918	D	15_15;15_24;15_25
21.42433111685478	D	35_25;35_48;35_49
21.424840679153736	L	24_29
21.424840679153736	AT	n18;24_51;n18;24_66;n12;24_67
21.527933808671563	L	4_21
21.527933808671563	AT	n19;4_36;n19;4_38;n12;4_39
21.589676494919946	D	45_32;45_42;45_43
21.860317928389215	D	26_13;26_40;26_41
22.033439916865337	D	9_32;9_38;9_39
22.202254356473603	LT	n12;23_46;n12;23_56;n18;23_57
22.272091669717643	L	19_24
22.46192663711821	LT	n12;44_23;n12;44_46;n22;44_47
23.166448563963524	L	15_25
23.166448563963524	AT	n22;15_29;n22;15_34;n12;15_35
23.212204462869188	D	44_21;44_48;44_49
23.840821127291054	D	23_23;23_78;23_79
24.133273827694552	D	45_42;45_56;45_57
24.605021573405523	D	45_33;45_58;45_59
24.736449884376007	L	36_35
24.77105034890324	D	33_53;33_122;33_123
24.782383271835506	D	49_60;49_106;49_107
24.819274477139363	D	49_106;49_108;49_109
25.073705508236195	D	45_18;45_62;45_63
25.211019063351024	LT	n12;36_39;n12;36_128;n25;36_129
25.34600530459667	L	37_27
25.420390384101086	D	38_23;38_42;38_43
25.656434535516066	LT	n12;46_32;n12;46_68;n20;46_69
25.807189421609205	L	18_43
25.807189421609205	AT	n21;18_128;n21;18_130;n12;18_131
25.88356076118588	D	36_128;36_130;36_131
25.889029530246855	L	49_109
25.93290194919653	L	50_13
26.123807136536477	D	26_40;26_60;26_61
26.56034796130615	L	42_139
26.56034796130615	AT	n15;42_182;n15;42_230;n12;42_231
26.560477228489685	L	45_59
26.74257294941446	D	13_29;13_84;13_85
26.961681115475933	D	45_43;45_64;45_65
26.989404950749112	LT	n12;43_15;n12;43_60;n26;43_61
27.1859115049851	D	45_62;45_66;45_67
27.19024763998203	D	44_46;44_56;44_57
27.425055637253287	D	42_231;42_238;42_239
27.813910718005147	L	43_60
27.813910718005147	AT	n30;43_63;n30;43_68;n12;43_69
27.93728020643016	LT	n12;23_56;n12;23_110;n15;23_111
28.07727562777514	D	13_85;13_92;13_93
28.08755743851704	D	23_42;23_112;23_113
28.24043510460603	L	30_19
28.917826224229643	L	13_92
28.917826224229643	AT	n15;13_42;n15;13_94;n12;13_95
29.119704483604085	L	23_43
29.119704483604085	AT	n29;23_96;n29;23_116;n12;23_117
29.5744820085238	LT	n12;49_108;n12;49_124;n32;49_125
29.609125619992557	L	9_38
29.768159865067187	D	44_48;44_82;44_83
29.804931502712375	D	24_31;24_154;24_155
29.81454724485796	D	45_67;45_80;45_81
30.187266129117386	LT	n12;42_103;n12;42_328;n15;42_329
30.211369392734014	L	7_46
30.271075170294	L	25_40
30.271075170294	AT	n38;25_127;n38;25_130;n12;25_131
30.28305740208559	LT	n12;34_16;n12;34_46;n27;34_47
