TIME	EVENT	NODES
0	O	Root
4.187511077714989	S	Root;1;n1;2;n2;3
4.844293709453745	S	n1;2;n3;4;n4;5
4.89795367948529	D	n3;4;n3;6;n3;7
6.343788664382323	S	n4;5;n5;8;n6;9
7.461657474483729	S	n6;9;n7;10;n8;11
8.314981374060952	S	n8;11;n9;12;n10;13
9.569354348065916	L	n10;13
9.569354348065916	T	n2;3;n2;14;n10;15
10.124794328964281	D	n2;14;n2;16;n2;17
11.357004905749223	E	n7;10
11.581803033709823	D	n3;6;n3;18;n3;19
11.949463610099452	D	n9;12;n9;20;n9;21
12.180956064691907	D	n5;8;n5;22;n5;23
13.146754713478709	S	n5;22;n11;24;n12;25
13.146754713478709	S	n5;23;n11;26;n12;27
14.110238563319262	D	n12;25;n12;28;n12;29
16.200793963600574	E	n3;18
16.200793963600574	E	n3;19
16.200793963600574	E	n3;7
16.567403830161158	S	n10;15;n13;30;n14;31
17.09094657779554	D	n12;27;n12;32;n12;33
17.332624481574445	E	n13;30
19.16324440740152	S	n9;20;n15;34;n16;35
19.16324440740152	S	n9;21;n15;36;n16;37
20.872099886310078	D	n16;37;n16;38;n16;39
21.042912484040116	S	n14;31;n17;40;n18;41
21.218135116893492	S	n16;35;n19;42;n20;43
21.218135116893492	S	n16;38;n19;44;n20;45
21.218135116893492	S	n16;39;n19;46;n20;47
21.232051094949597	L	n17;40
21.232051094949597	T	n12;29;n12;48;n17;49
21.90786886805524	S	n19;42;n21;50;n22;51
21.90786886805524	S	n19;44;n21;52;n22;53
21.90786886805524	S	n19;46;n21;54;n22;55
22.3432788972331	S	n11;24;n23;56;n24;57
22.3432788972331	S	n11;26;n23;58;n24;59
23.954336085282627	S	n22;51;n25;60;n26;61
23.954336085282627	S	n22;53;n25;62;n26;63
23.954336085282627	S	n22;55;n25;64;n26;65
24.08080022667432	S	n18;41;n27;66;n28;67
25.12851587839312	L	n20;43
25.656434535516066	L	n20;47
25.656434535516066	T	n12;32;n12;68;n20;69
25.66856388337636	L	n15;34
27.554947452108376	S	n23;56;n29;70;n30;71
27.554947452108376	S	n23;58;n29;72;n30;73
27.861890955778016	D	n15;36;n15;74;n15;75
27.931209110848865	S	n25;60;n31;76;n32;77
27.931209110848865	S	n25;62;n31;78;n32;79
27.931209110848865	S	n25;64;n31;80;n32;81
27.970044887844427	L	n27;66
27.971072119891755	E	n21;50
27.971072119891755	E	n21;52
27.971072119891755	E	n21;54
28.042792582629435	D	n32;81;n32;82;n32;83
28.782111249634752	D	n24;57;n24;84;n24;85
29.035416467045504	E	n30;71
29.035416467045504	E	n30;73
29.078349037979528	D	n32;79;n32;86;n32;87
29.459769704529013	S	n26;61;n33;88;n34;89
29.459769704529013	S	n26;63;n33;90;n34;91
29.459769704529013	S	n26;65;n33;92;n34;93
29.555108705152065	T	n24;59;n24;94;n27;95
29.658832958454028	S	n29;70;n35;96;n36;97
29.658832958454028	S	n29;72;n35;98;n36;99
29.73612421315088	S	n20;45;n37;100;n38;101
29.73612421315088	S	n20;69;n37;102;n38;103
30.03185477769824	D	n2;17;n2;104;n2;105
30.190475818426336	L	n32;77
30.389199055551433	F	n36;97
30.389199055551433	F	n36;99
30.389199055551433	F	n17;49
30.389199055551433	F	n37;100
30.389199055551433	F	n37;102
30.389199055551433	F	n27;95
30.389199055551433	F	n2;16
30.389199055551433	F	n2;104
30.389199055551433	F	n2;105
30.389199055551433	F	n31;76
30.389199055551433	F	n31;78
30.389199055551433	F	n31;80
30.389199055551433	F	n34;89
30.389199055551433	F	n34;91
30.389199055551433	F	n34;93
30.389199055551433	F	n38;101
30.389199055551433	F	n38;103
30.389199055551433	F	n32;86
30.389199055551433	F	n32;87
30.389199055551433	F	n32;82
30.389199055551433	F	n32;83
30.389199055551433	F	n12;28
30.389199055551433	F	n12;48
30.389199055551433	F	n12;68
30.389199055551433	F	n12;33
30.389199055551433	F	n28;67
30.389199055551433	F	n35;96
30.389199055551433	F	n35;98
30.389199055551433	F	n24;84
30.389199055551433	F	n24;85
30.389199055551433	F	n24;94
30.389199055551433	F	n33;88
30.389199055551433	F	n33;90
30.389199055551433	F	n33;92
30.389199055551433	F	n15;74
30.389199055551433	F	n15;75
