POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	24
1	2	+	38
2	5	-	34
3	6	+	35
4	7	-	56
5	7	-	58
6	7	-	60
7	7	-	62
8	9	-	26
9	9	-	28
10	10	-	22
11	13	-	80
12	13	-	81
13	13	-	46
14	13	-	62
15	13	-	63
16	15	-	42
17	15	-	43
18	16	+	56
19	16	+	57
20	16	+	42
21	16	+	44
22	17	+	34
23	18	+	62
24	21	-	22
25	23	+	88
26	23	+	91
27	23	+	87
28	44	-	59
29	24	-	120
30	24	-	121
31	24	-	119
32	24	-	52
33	24	-	54
34	24	-	112
35	24	-	113
36	24	-	58
37	24	-	60
38	25	-	52
39	25	-	54
40	25	-	56
41	25	-	58
42	26	+	63
43	27	-	74
44	28	+	65
45	29	-	24
46	29	-	26
47	30	-	47
48	33	+	76
49	33	+	78
50	35	-	90
51	35	-	91
52	35	-	42
53	36	-	74
54	36	-	76
55	37	+	70
56	37	+	71
57	37	+	88
58	38	-	32
59	39	-	16
60	40	-	34
61	40	-	92
62	40	-	93
63	40	-	60
64	40	-	70
65	40	-	71
66	41	-	46
67	41	-	62
68	41	-	63
69	41	-	36
70	41	-	38
71	42	+	122
72	42	+	124
73	42	+	126
74	42	+	268
75	42	+	269
76	42	+	249
77	42	+	132
78	34	+	35
79	19	-	43
80	42	+	134
81	42	+	136
82	43	-	32
83	45	+	72
84	45	+	73
85	45	+	48
86	45	+	49
87	4	-	70
88	46	+	49
89	48	+	42
90	48	+	44
91	49	-	66
92	49	-	68
93	49	-	70
94	49	-	72
95	49	-	74
96	50	-	24
97	50	-	26
98	50	-	40
